15633482,0.00,2004
15634482,0.00,2004
15635483,0.00,2004
15636483,0.00,2004
15637484,1.00,2004
15638484,0.00,2004
15639484,0.00,2004
15640485,0.00,2004
15641485,0.00,2004
15642485,0.00,2004
15643486,0.00,2004
15644486,0.00,2004
15645486,0.00,2004
15646487,0.00,2004
15647487,0.00,2004
15648487,0.00,2004
15649487,0.00,2004
15650488,0.00,2004
15651488,0.00,2004
15652488,0.00,2004
15653489,0.00,2004
15654489,0.00,2004
15655489,0.00,2004
15656490,0.00,2004
15657490,0.00,2004
15658490,0.00,2004
15659490,0.00,2004
15660491,0.00,2004
15661491,0.00,2004
15662491,0.00,2004
15663492,0.00,2004
15664492,0.00,2004
15665492,0.00,2004
15666493,0.00,2004
15667493,0.00,2004
15668493,0.00,2004
15669493,0.00,2004
15670494,0.00,2004
15671494,0.00,2004
15672494,0.00,2004
15673494,0.00,2004
15674495,0.00,2004
15675495,0.00,2004
15676495,0.00,2004
15677495,0.00,2004
15678496,0.00,2004
15679496,0.00,2004
15680496,0.00,2004
15681496,0.00,2004
15682497,0.00,2004
15683497,0.00,2004
15684497,0.00,2004
15685498,0.00,2004
15686498,0.00,2004
15687498,0.00,2004
15688498,0.00,2004
15689499,0.00,2004
15690499,0.00,2004
15691499,0.00,2004
15692500,0.00,2004
15693500,0.00,2004
15694500,0.00,2004
15695501,0.00,2004
15696501,0.00,2004
15697502,0.00,2004
15698502,0.00,2004
15699502,0.00,2004
15700502,0.00,2004
15701503,0.00,2004
15702503,0.00,2004
15703503,0.00,2004
15704503,0.00,2004
15705503,0.00,2004
15706504,0.00,2004
15707504,0.00,2004
15708505,0.00,2004
15709505,0.00,2004
15710505,0.00,2004
15711506,0.00,2004
15712506,0.00,2004
15713506,1.00,2004
15714506,0.00,2004
15715507,0.00,2004
15716507,0.00,2004
15717507,0.00,2004
15718508,0.00,2004
15719508,0.00,2004
15720508,0.00,2004
15721508,0.00,2004
15722508,0.00,2004
15723509,0.00,2004
15724509,0.00,2004
15725509,0.00,2004
15726509,0.00,2004
15727510,0.00,2004
15728510,0.00,2004
15729510,0.00,2004
15730510,0.00,2004
15731511,0.00,2004
15732511,0.00,2004
15733511,0.00,2004
15734511,0.00,2004
15735512,0.00,2004
15736512,0.00,2004
15737512,0.00,2004
15738512,0.00,2004
15739513,0.00,2004
15740513,0.00,2004
15741513,0.00,2004
15742513,0.00,2004
15743514,0.00,2004
15744514,0.00,2004
15745514,0.00,2004
15746514,0.00,2004
15747514,0.00,2004
15748515,0.00,2004
15749515,0.00,2004
15750515,0.00,2004
15751516,0.00,2004
15752516,0.00,2004
15753516,0.00,2004
15754517,0.00,2004
15755517,0.00,2004
15756517,0.00,2004
15757517,0.00,2004
15758518,0.00,2004
15759518,0.00,2004
15760518,0.00,2004
15761519,0.00,2004
15762519,0.00,2004
15763519,0.00,2004
15764520,0.00,2004
15765520,0.00,2004
15766520,0.00,2004
15767521,0.00,2004
15768521,1.00,2004
15769521,0.00,2004
15770521,0.00,2004
15771522,0.00,2004
15772522,0.00,2004
15773522,0.00,2004
15774523,0.00,2004
15775523,0.00,2004
15776523,0.00,2004
15777524,0.00,2004
15778524,0.00,2004
15779524,0.00,2004
15780525,0.00,2004
15781525,0.00,2004
15782525,0.00,2004
15783525,0.00,2004
15784526,0.00,2004
15785526,0.00,2004
15786526,0.00,2004
15787527,0.00,2004
15788527,0.00,2004
15789527,0.00,2004
15790528,0.00,2004
15791528,0.00,2004
15792528,0.00,2004
15793528,0.00,2004
15794529,0.00,2004
15795529,0.00,2004
15796529,0.00,2004
15797530,0.00,2004
15798530,0.00,2004
15799530,0.00,2004
15800531,0.00,2004
15801531,0.00,2004
15802531,0.00,2004
15803531,0.00,2004
15804532,0.00,2004
15805532,0.00,2004
15806532,0.00,2004
15807533,0.00,2004
15808533,0.00,2004
15809533,0.00,2004
15810534,0.00,2004
15811534,0.00,2004
15812534,0.00,2004
15813535,0.00,2004
15814535,0.00,2004
15815535,0.00,2004
15816535,0.00,2004
15817535,0.00,2004
15818536,0.00,2004
15819536,0.00,2004
15820536,0.00,2004
15821537,0.00,2004
15822537,0.00,2004
15823537,0.00,2004
15824538,0.00,2004
15825538,0.00,2004
15826539,1.00,2004
15827539,0.00,2004
15828539,0.00,2004
15829540,0.00,2004
15830540,0.00,2004
15831540,0.00,2004
15832541,0.00,2004
15833541,0.00,2004
15834541,0.00,2004
15835542,0.00,2004
15836542,0.00,2004
15837542,0.00,2004
15838542,0.00,2004
15839543,0.00,2004
15840543,0.00,2004
15841543,0.00,2004
15842543,0.00,2004
15843544,0.00,2004
15844544,0.00,2004
15845544,0.00,2004
15846545,0.00,2004
15847545,0.00,2004
15848546,0.00,2004
15849546,0.00,2004
15850546,0.00,2004
15851547,0.00,2004
15852547,0.00,2004
15853547,0.00,2004
15854548,0.00,2004
15855548,0.00,2004
15856548,0.00,2004
15857549,0.00,2004
15858549,0.00,2004
15859549,0.00,2004
15860550,0.00,2004
15861550,0.00,2004
15862550,0.00,2004
15863551,0.00,2004
15864551,0.00,2004
15865552,0.00,2004
15866552,0.00,2004
